Date, Open, High, Low, Close
05/03/22, 33086.09, 33341.58, 32914.75, 33128.79
05/02/22, 32978.49, 33224.95, 32449.87, 33061.50
04/29/22, 33787.01, 33919.59, 32913.15, 32977.21
04/28/22, 33425.96, 34054.79, 33248.46, 33916.39
04/27/22, 33450.92, 33697.18, 33108.89, 33301.93
04/26/22, 33907.49, 33909.51, 33230.95, 33240.18
04/25/22, 33731.65, 34106.01, 33323.37, 34049.46
04/22/22, 34727.38, 34727.38, 33773.39, 33811.40
04/21/22, 35258.80, 35492.22, 34723.82, 34792.76
04/20/22, 34962.67, 35315.40, 34962.67, 35160.79
04/19/22, 34394.62, 34983.11, 34394.62, 34911.20
04/18/22, 34411.49, 34618.29, 34279.08, 34411.69
04/14/22, 34628.46, 34889.17, 34437.50, 34451.23
04/13/22, 34166.64, 34598.36, 34140.64, 34564.59
04/12/22, 34412.51, 34669.97, 34102.81, 34220.36
04/11/22, 34630.27, 34701.34, 34272.29, 34308.08
04/08/22, 34569.24, 34908.46, 34470.19, 34721.12
04/07/22, 34439.24, 34705.83, 34190.95, 34583.57
04/06/22, 34520.34, 34609.84, 34277.17, 34496.51
04/05/22, 34876.33, 35112.21, 34566.04, 34641.18
04/04/22, 34799.98, 34940.78, 34615.38, 34921.88
04/01/22, 34740.89, 34847.91, 34538.25, 34818.27
03/31/22, 35201.52, 35201.52, 34677.99, 34678.35
03/30/22, 35273.63, 35361.36, 35058.58, 35228.81
03/29/22, 35114.35, 35372.26, 35030.07, 35294.19
03/28/22, 34833.03, 34957.93, 34552.23, 34955.89
03/25/22, 34702.39, 34942.70, 34631.52, 34861.24
03/24/22, 34406.81, 34713.56, 34355.42, 34707.94
03/23/22, 34748.84, 34748.84, 34352.96, 34358.50
03/22/22, 34583.24, 34882.03, 34583.24, 34807.46
03/21/22, 34669.85, 34808.28, 34341.81, 34552.99
03/18/22, 34466.72, 34755.20, 34279.83, 34754.93
03/17/22, 33995.39, 34483.92, 33896.06, 34480.76
03/16/22, 33653.93, 34075.94, 33391.24, 34063.10
03/15/22, 32989.27, 33620.84, 32989.27, 33544.34
03/14/22, 33000.37, 33395.59, 32818.16, 32945.24
03/11/22, 33279.72, 33515.61, 32911.89, 32944.19
03/10/22, 33106.77, 33236.59, 32819.76, 33174.07
03/09/22, 32860.42, 33457.28, 32860.42, 33286.25
03/08/22, 32885.17, 33402.98, 32578.73, 32632.64
03/07/22, 33579.75, 33579.75, 32806.15, 32817.38
03/04/22, 33655.43, 33655.43, 33254.12, 33614.80
03/03/22, 33972.87, 34179.07, 33641.53, 33794.66
03/02/22, 33379.51, 34013.67, 33379.51, 33891.35
03/01/22, 33813.48, 33870.14, 33107.67, 33294.95
02/28/22, 33870.62, 33963.63, 33469.31, 33892.60
02/25/22, 33277.22, 34095.74, 33277.22, 34058.75
02/24/22, 32830.33, 33269.34, 32272.64, 33223.83
02/23/22, 33680.97, 33832.59, 33084.90, 33131.76
02/22/22, 33974.09, 34024.74, 33364.29, 33596.61
02/18/22, 34310.45, 34423.58, 33976.18, 34079.18
02/17/22, 34858.47, 34858.47, 34246.23, 34312.03
02/16/22, 34951.83, 35042.09, 34642.64, 34934.27
02/15/22, 34686.19, 35047.79, 34686.19, 34988.84
02/14/22, 34694.50, 34744.56, 34304.28, 34566.17
02/11/22, 35267.89, 35431.15, 34620.52, 34738.06
02/10/22, 35630.81, 35800.24, 35100.72, 35241.59
02/09/22, 35614.90, 35824.28, 35614.90, 35768.06
02/08/22, 35160.68, 35544.89, 35090.42, 35462.78
02/07/22, 35108.38, 35325.01, 34993.98, 35091.13
02/04/22, 35095.74, 35333.55, 34799.08, 35089.74
02/03/22, 35520.08, 35535.94, 35071.06, 35111.16
